연도,자치구,노후주택수,전체주택수,노후주택비율,정비공급우선지수,우선순위
2018,서대문구,39374,94884,0.4149698579317904,60.0,검토
2018,서초구,52778,132040,0.3997122084216904,38.4,관찰
2018,성동구,32665,87830,0.3719116475008539,47.2,검토
2018,성북구,47531,129994,0.36563995261319754,25.6,관찰
2018,송파구,79464,199739,0.39783918013006975,26.4,관찰
2018,양천구,69475,137850,0.5039898440333695,58.4,검토
2018,영등포구,49858,99971,0.4987246301427414,73.6,우선 검토
2018,용산구,36474,71680,0.5088448660714285,86.4,우선 검토
2018,은평구,48817,144611,0.3375745966766014,11.200000000000001,관찰
2018,종로구,25037,45729,0.5475081458155656,92.0,우선 검토
2018,중구,11717,40177,0.29163451726111955,40.8,관찰
2018,중랑구,51830,105691,0.4903918025186629,66.4,검토
2019,강남구,79281,170444,0.46514397690737136,45.6,검토
2019,강동구,39697,123014,0.32270310696343507,20.8,관찰
2019,강북구,46511,97070,0.47914906768311527,72.0,우선 검토
2019,강서구,80004,193551,0.41334841979633274,28.0,관찰
2019,관악구,52873,126526,0.4178824905553009,43.199999999999996,관찰
2019,광진구,40646,89132,0.4560202845218328,68.0,검토
2019,구로구,57279,129693,0.4416506673451921,46.4,검토
2019,금천구,26352,67012,0.3932430012535068,59.2,검토
2019,노원구,142198,187376,0.7588912133891214,63.199999999999996,검토
2019,도봉구,68831,106641,0.6454459354282124,80.0,우선 검토
2019,동대문구,34438,104821,0.32854103662434053,31.2,관찰
2019,동작구,49211,115075,0.42764284162502714,50.400000000000006,검토
2019,마포구,41403,119298,0.3470552733490922,29.599999999999998,관찰
2019,서대문구,44625,97616,0.45714841829208325,65.6,검토
2019,서초구,49839,131777,0.37820712263900375,28.0,관찰
2019,성동구,35240,91037,0.38709535683293606,49.599999999999994,검토
2019,성북구,53392,136437,0.39133079736435133,31.199999999999996,관찰
2019,송파구,77279,208692,0.37030168861288404,14.399999999999999,관찰
2019,양천구,71185,139938,0.5086895625205448,58.4,검토
2019,영등포구,52502,101603,0.5167367105302009,78.4,우선 검토
2019,용산구,36851,72463,0.5085491906214206,81.6,우선 검토
2019,은평구,46963,148557,0.316127816259079,8.8,관찰
2019,종로구,25252,46440,0.543755383290267,92.0,우선 검토
2019,중구,14294,41754,0.3423384585907937,48.0,검토
2019,중랑구,53749,107997,0.4976897506412215,66.4,검토
2020,강남구,82032,173745,0.4721402054735388,43.199999999999996,관찰
2020,강동구,44531,137876,0.322978618468769,16.0,관찰
2020,강북구,47194,97452,0.48427944013463037,72.0,우선 검토
2020,강서구,83660,195383,0.4281846424714535,28.0,관찰
2020,관악구,57705,127568,0.4523469835695472,47.2,검토
2020,광진구,41991,89832,0.4674392198771039,65.6,검토
2020,구로구,63446,133012,0.4769945568820858,55.2,검토
2020,금천구,29117,68804,0.4231876053717807,59.2,검토
