연도,자치구,주택유형,경과연수,노후주택수
2015,서초구,단독주택,30년 이상,2741
2015,강남구,단독주택,30년 이상,1261
2015,송파구,단독주택,30년 이상,2640
2015,강동구,단독주택,30년 이상,2645
2015,종로구,아파트,30년 이상,1199
2015,중구,아파트,30년 이상,1795
2015,용산구,아파트,30년 이상,8679
2015,성동구,아파트,30년 이상,1515
2015,광진구,아파트,30년 이상,1851
2015,동대문구,아파트,30년 이상,2347
2015,중랑구,아파트,30년 이상,400
2015,성북구,아파트,30년 이상,1509
2015,강북구,아파트,30년 이상,30
2015,도봉구,아파트,30년 이상,104
2015,노원구,아파트,30년 이상,2658
2015,은평구,아파트,30년 이상,156
2015,서대문구,아파트,30년 이상,2168
2015,마포구,아파트,30년 이상,637
2015,양천구,아파트,30년 이상,2392
2015,강서구,아파트,30년 이상,854
2015,구로구,아파트,30년 이상,2261
2015,금천구,아파트,30년 이상,2659
2015,영등포구,아파트,30년 이상,13484
2015,동작구,아파트,30년 이상,709
2015,관악구,아파트,30년 이상,2788
2015,서초구,아파트,30년 이상,23096
2015,강남구,아파트,30년 이상,44619
2015,송파구,아파트,30년 이상,21490
2015,강동구,아파트,30년 이상,24153
2015,종로구,연립주택,30년 이상,652
2015,중구,연립주택,30년 이상,254
2015,용산구,연립주택,30년 이상,801
2015,성동구,연립주택,30년 이상,1054
2015,광진구,연립주택,30년 이상,1412
2015,동대문구,연립주택,30년 이상,2053
2015,중랑구,연립주택,30년 이상,1994
2015,성북구,연립주택,30년 이상,1624
2015,강북구,연립주택,30년 이상,944
2015,도봉구,연립주택,30년 이상,673
2015,노원구,연립주택,30년 이상,429
2015,은평구,연립주택,30년 이상,1218
2015,서대문구,연립주택,30년 이상,1372
2015,마포구,연립주택,30년 이상,1550
2015,양천구,연립주택,30년 이상,2157
2015,강서구,연립주택,30년 이상,1794
2015,구로구,연립주택,30년 이상,2401
2015,금천구,연립주택,30년 이상,1461
2015,영등포구,연립주택,30년 이상,638
2015,동작구,연립주택,30년 이상,944
2015,관악구,연립주택,30년 이상,1007
2015,서초구,연립주택,30년 이상,919
2015,강남구,연립주택,30년 이상,1269
2015,송파구,연립주택,30년 이상,239
2015,강동구,연립주택,30년 이상,589
2015,종로구,다세대주택,30년 이상,409
2015,중구,다세대주택,30년 이상,112
2015,용산구,다세대주택,30년 이상,1360
2015,성동구,다세대주택,30년 이상,173
2015,광진구,다세대주택,30년 이상,91
2015,동대문구,다세대주택,30년 이상,968
2015,중랑구,다세대주택,30년 이상,341
2015,성북구,다세대주택,30년 이상,316
2015,강북구,다세대주택,30년 이상,418
2015,도봉구,다세대주택,30년 이상,126
2015,노원구,다세대주택,30년 이상,351
2015,은평구,다세대주택,30년 이상,1319
2015,서대문구,다세대주택,30년 이상,1310
2015,마포구,다세대주택,30년 이상,2928
2015,양천구,다세대주택,30년 이상,133
2015,강서구,다세대주택,30년 이상,134
2015,구로구,다세대주택,30년 이상,1388
2015,금천구,다세대주택,30년 이상,778
2015,영등포구,다세대주택,30년 이상,451
2015,동작구,다세대주택,30년 이상,462
2015,관악구,다세대주택,30년 이상,1430
2015,서초구,다세대주택,30년 이상,248
2015,강남구,다세대주택,30년 이상,333
2015,송파구,다세대주택,30년 이상,257
2015,강동구,다세대주택,30년 이상,283
2016,종로구,단독주택,20년~30년미만,2546
2016,중구,단독주택,20년~30년미만,1696
2016,용산구,단독주택,20년~30년미만,4541
2016,성동구,단독주택,20년~30년미만,5428
2016,광진구,단독주택,20년~30년미만,8640
2016,동대문구,단독주택,20년~30년미만,7293
2016,중랑구,단독주택,20년~30년미만,11433
2016,성북구,단독주택,20년~30년미만,8221
2016,강북구,단독주택,20년~30년미만,7809
2016,도봉구,단독주택,20년~30년미만,4380
2016,노원구,단독주택,20년~30년미만,2587
2016,은평구,단독주택,20년~30년미만,7688
2016,서대문구,단독주택,20년~30년미만,5058
2016,마포구,단독주택,20년~30년미만,5559
2016,양천구,단독주택,20년~30년미만,5215
2016,강서구,단독주택,20년~30년미만,5594
2016,구로구,단독주택,20년~30년미만,6397
2016,금천구,단독주택,20년~30년미만,4672
2016,영등포구,단독주택,20년~30년미만,8379
2016,동작구,단독주택,20년~30년미만,7013
2016,관악구,단독주택,20년~30년미만,9839
2016,서초구,단독주택,20년~30년미만,2630
2016,강남구,단독주택,20년~30년미만,3656
2016,송파구,단독주택,20년~30년미만,5846
2016,강동구,단독주택,20년~30년미만,6593
2016,종로구,아파트,20년~30년미만,2278
2016,중구,아파트,20년~30년미만,1047
2016,용산구,아파트,20년~30년미만,1847
2016,성동구,아파트,20년~30년미만,8396
2016,광진구,아파트,20년~30년미만,11530
2016,동대문구,아파트,20년~30년미만,5041
